 ,Area,Min,Max,X,Y,Major,Minor,Angle,IntDen,RawIntDen,Ch,Slice
223,0.224,5172,15143,4.684,1.339,0.570,0.499,47.365,2272.270,5680674.000,1,8
224,0.246,5370,15142,0.879,3.136,0.625,0.501,46.368,2564.506,6411264.000,1,8
225,0.201,5186,14833,6.639,3.306,0.562,0.455,53.235,1866.405,4666012.000,1,8
226,0.215,5125,15141,5.460,4.218,0.572,0.478,47.009,2088.587,5221468.000,1,8
227,0.218,5243,15142,3.140,4.537,0.566,0.491,46.032,2220.242,5550605.000,1,8
228,0.222,5237,15142,3.061,6.706,0.577,0.489,50.795,2192.282,5480704.000,1,8
229,0.233,5299,15142,4.511,7.860,0.596,0.499,52.480,2338.306,5845764.000,1,8
230,0.236,5234,15142,1.814,8.374,0.602,0.498,45.681,2387.632,5969079.000,1,8
231,0.044,274,627,2.441,0.167,0.295,0.192,0.990,18.883,47207.000,2,8
232,0.111,241,999,1.356,0.259,0.416,0.339,178.860,62.903,157257.000,2,8
233,0.142,260,1099,1.699,0.902,0.430,0.421,87.684,86.548,216371.000,2,8
234,0.132,261,1069,4.641,1.189,0.415,0.404,170.455,79.102,197754.000,2,8
235,0.131,270,976,0.807,2.990,0.426,0.391,9.863,73.367,183417.000,2,8
236,0.134,262,1076,6.585,3.165,0.418,0.408,31.757,78.618,196546.000,2,8
237,0.131,260,1054,5.401,4.078,0.420,0.398,143.177,76.136,190340.000,2,8
238,0.130,269,1104,3.077,4.393,0.420,0.395,163.081,78.378,195944.000,2,8
239,0.138,264,1091,2.992,6.568,0.428,0.409,134.510,81.981,204953.000,2,8
240,0.131,286,1030,4.455,7.724,0.412,0.406,155.162,76.940,192350.000,2,8
241,0.132,276,981,1.753,8.247,0.426,0.395,9.688,75.853,189633.000,2,8
242,0.022,736,1277,2.466,0.151,0.194,0.147,11.485,22.562,56404.000,3,8
