Powermeter serial number; P0013475
Sensor serial number; 200922128
Sensor Type; Photodiode
Wavelength(nm); 640

Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)
3/22/2021;12:24:53.614; 3.0953E-07
3/22/2021;12:24:53.617; 3.0823E-07
3/22/2021;12:24:53.620; 3.1317E-07
3/22/2021;12:24:53.622; 3.0842E-07
3/22/2021;12:24:53.625; 3.0899E-07
3/22/2021;12:24:53.628; 3.1082E-07
3/22/2021;12:24:53.630; 3.1515E-07
3/22/2021;12:24:53.633; 3.0732E-07
3/22/2021;12:24:53.636; 3.0721E-07
3/22/2021;12:24:53.638; 3.1086E-07
3/22/2021;12:24:53.641; 3.0607E-07
3/22/2021;12:24:53.644; 3.1393E-07
3/22/2021;12:24:53.646; 3.0766E-07
3/22/2021;12:24:53.649; 3.096E-07
3/22/2021;12:24:53.652; 3.0474E-07
3/22/2021;12:24:53.654; 3.1272E-07
3/22/2021;12:24:53.658; 3.0839E-07
3/22/2021;12:24:53.661; 3.0945E-07
3/22/2021;12:24:53.664; 3.0941E-07
3/22/2021;12:24:53.666; 3.0785E-07
3/22/2021;12:24:53.669; 3.1241E-07
3/22/2021;12:24:53.672; 3.0888E-07
3/22/2021;12:24:53.674; 3.1196E-07
3/22/2021;12:24:53.677; 3.0683E-07
3/22/2021;12:24:53.682; 3.1089E-07
3/22/2021;12:24:53.684; 3.0793E-07
3/22/2021;12:24:53.687; 3.1196E-07
3/22/2021;12:24:53.690; 3.0801E-07
3/22/2021;12:24:53.692; 3.0554E-07
3/22/2021;12:24:53.695; 3.066E-07
3/22/2021;12:24:53.698; 3.0941E-07
3/22/2021;12:24:53.700; 3.0953E-07
3/22/2021;12:24:53.703; 3.0789E-07
3/22/2021;12:24:53.707; 3.1268E-07
3/22/2021;12:24:53.710; 3.0615E-07
3/22/2021;12:24:53.712; 3.033E-07
3/22/2021;12:24:53.715; 3.0892E-07
3/22/2021;12:24:53.718; 3.0884E-07
3/22/2021;12:24:53.720; 3.0854E-07
3/22/2021;12:24:53.723; 3.0789E-07
3/22/2021;12:24:53.726; 3.0759E-07
3/22/2021;12:24:53.728; 3.1184E-07
3/22/2021;12:24:53.731; 3.1055E-07
3/22/2021;12:24:53.734; 3.0641E-07
3/22/2021;12:24:53.736; 3.1412E-07
3/22/2021;12:24:53.739; 3.0983E-07
3/22/2021;12:24:53.742; 3.0835E-07
3/22/2021;12:24:53.744; 3.077E-07
3/22/2021;12:24:53.747; 3.1044E-07
3/22/2021;12:24:53.750; 3.1283E-07
3/22/2021;12:24:53.752; 3.0672E-07
3/22/2021;12:24:53.757; 3.1196E-07
3/22/2021;12:24:53.760; 3.0706E-07
3/22/2021;12:24:53.763; 3.0675E-07
3/22/2021;12:24:53.765; 3.0732E-07
3/22/2021;12:24:53.768; 3.0839E-07
3/22/2021;12:24:53.771; 3.047E-07
3/22/2021;12:24:53.773; 3.1439E-07
3/22/2021;12:24:53.776; 3.0588E-07
3/22/2021;12:24:53.779; 3.0945E-07
3/22/2021;12:24:53.781; 3.077E-07
3/22/2021;12:24:53.784; 3.118E-07
3/22/2021;12:24:53.787; 3.1029E-07
3/22/2021;12:24:53.789; 3.0884E-07
3/22/2021;12:24:53.792; 3.1386E-07
3/22/2021;12:24:53.795; 3.0725E-07
3/22/2021;12:24:53.797; 3.1234E-07
3/22/2021;12:24:53.800; 3.0687E-07
3/22/2021;12:24:53.803; 3.1196E-07
3/22/2021;12:24:53.808; 3.0569E-07
3/22/2021;12:24:53.810; 3.0972E-07
3/22/2021;12:24:53.813; 3.0892E-07
3/22/2021;12:24:53.816; 3.0816E-07
3/22/2021;12:24:53.818; 3.0766E-07
3/22/2021;12:24:53.821; 3.047E-07
3/22/2021;12:24:53.824; 3.0918E-07
3/22/2021;12:24:53.826; 3.0561E-07
3/22/2021;12:24:53.829; 3.1291E-07
3/22/2021;12:24:53.832; 3.0508E-07
3/22/2021;12:24:53.834; 3.1359E-07
3/22/2021;12:24:53.837; 3.0637E-07
3/22/2021;12:24:53.840; 3.1021E-07
3/22/2021;12:24:53.842; 3.0691E-07
3/22/2021;12:24:53.845; 3.0751E-07
3/22/2021;12:24:53.848; 3.1237E-07
3/22/2021;12:24:53.850; 3.0869E-07
3/22/2021;12:24:53.853; 3.1184E-07
3/22/2021;12:24:53.858; 3.0983E-07
3/22/2021;12:24:53.860; 3.082E-07
3/22/2021;12:24:53.863; 3.0615E-07
3/22/2021;12:24:53.865; 3.0744E-07
3/22/2021;12:24:53.868; 3.0991E-07
3/22/2021;12:24:53.871; 3.0736E-07
3/22/2021;12:24:53.873; 3.0808E-07
3/22/2021;12:24:53.876; 3.055E-07
3/22/2021;12:24:53.879; 3.1374E-07
3/22/2021;12:24:53.881; 3.0744E-07
3/22/2021;12:24:53.884; 3.1154E-07
3/22/2021;12:24:53.887; 3.0911E-07
3/22/2021;12:24:53.889; 3.1032E-07
3/22/2021;12:24:53.892; 3.1344E-07
3/22/2021;12:24:53.895; 3.1173E-07
3/22/2021;12:24:53.897; 3.0842E-07
3/22/2021;12:24:53.900; 3.0991E-07
3/22/2021;12:24:53.903; 3.1013E-07
3/22/2021;12:24:53.907; 3.1108E-07
3/22/2021;12:24:53.909; 3.0694E-07
3/22/2021;12:24:53.912; 3.0672E-07
3/22/2021;12:24:53.915; 3.1169E-07
3/22/2021;12:24:53.917; 3.0903E-07
3/22/2021;12:24:53.920; 3.1063E-07
3/22/2021;12:24:53.923; 3.1067E-07
3/22/2021;12:24:53.925; 3.0774E-07
3/22/2021;12:24:53.928; 3.1469E-07
3/22/2021;12:24:53.931; 3.0835E-07
3/22/2021;12:24:53.934; 3.1272E-07
3/22/2021;12:24:53.936; 3.1017E-07
3/22/2021;12:24:53.939; 3.082E-07
3/22/2021;12:24:53.942; 3.1196E-07
3/22/2021;12:24:53.944; 3.1021E-07
3/22/2021;12:24:53.947; 3.0691E-07
3/22/2021;12:24:53.950; 3.0656E-07
3/22/2021;12:24:53.952; 3.1203E-07
3/22/2021;12:24:53.955; 3.0873E-07
3/22/2021;12:24:53.961; 3.096E-07
3/22/2021;12:24:53.964; 3.1313E-07
3/22/2021;12:24:53.967; 3.1139E-07
3/22/2021;12:24:53.969; 3.0721E-07
3/22/2021;12:24:53.972; 3.1564E-07
3/22/2021;12:24:53.975; 3.0501E-07
3/22/2021;12:24:53.977; 3.1499E-07
3/22/2021;12:24:53.980; 3.0717E-07
3/22/2021;12:24:53.983; 3.123E-07
3/22/2021;12:24:53.985; 3.0668E-07
3/22/2021;12:24:53.988; 3.1017E-07
3/22/2021;12:24:53.991; 3.0736E-07
3/22/2021;12:24:53.993; 3.0778E-07
3/22/2021;12:24:53.996; 3.0888E-07
3/22/2021;12:24:53.999; 3.0546E-07
3/22/2021;12:24:54.001; 3.1336E-07
3/22/2021;12:24:54.004; 3.0379E-07
3/22/2021;12:24:54.008; 3.0865E-07
3/22/2021;12:24:54.010; 3.104E-07
3/22/2021;12:24:54.013; 3.1439E-07
3/22/2021;12:24:54.016; 3.0622E-07
3/22/2021;12:24:54.018; 3.1355E-07
3/22/2021;12:24:54.021; 3.0915E-07
3/22/2021;12:24:54.024; 3.0869E-07
3/22/2021;12:24:54.026; 3.0953E-07
3/22/2021;12:24:54.029; 3.1074E-07
3/22/2021;12:24:54.032; 3.0808E-07
3/22/2021;12:24:54.034; 3.0607E-07
3/22/2021;12:24:54.037; 3.0896E-07
3/22/2021;12:24:54.040; 3.1321E-07
3/22/2021;12:24:54.042; 3.0698E-07
3/22/2021;12:24:54.045; 3.1215E-07
3/22/2021;12:24:54.048; 3.0789E-07
3/22/2021;12:24:54.050; 3.0918E-07
3/22/2021;12:24:54.053; 3.0972E-07
3/22/2021;12:24:54.056; 3.0732E-07
3/22/2021;12:24:54.058; 3.1241E-07
3/22/2021;12:24:54.060; 3.0584E-07
3/22/2021;12:24:54.063; 3.1511E-07
3/22/2021;12:24:54.068; 3.0804E-07
3/22/2021;12:24:54.070; 3.1017E-07
3/22/2021;12:24:54.073; 3.0827E-07
3/22/2021;12:24:54.076; 3.093E-07
3/22/2021;12:24:54.079; 3.0808E-07
3/22/2021;12:24:54.082; 3.0816E-07
3/22/2021;12:24:54.084; 3.0641E-07
3/22/2021;12:24:54.087; 3.1275E-07
3/22/2021;12:24:54.090; 3.0645E-07
3/22/2021;12:24:54.093; 3.1363E-07
3/22/2021;12:24:54.095; 3.063E-07
3/22/2021;12:24:54.098; 3.1127E-07
3/22/2021;12:24:54.101; 3.1325E-07
3/22/2021;12:24:54.103; 3.0603E-07
3/22/2021;12:24:54.107; 3.137E-07
3/22/2021;12:24:54.110; 3.0508E-07
3/22/2021;12:24:54.113; 3.088E-07
3/22/2021;12:24:54.115; 3.0607E-07
3/22/2021;12:24:54.118; 3.1101E-07
3/22/2021;12:24:54.121; 3.0565E-07
3/22/2021;12:24:54.123; 3.1021E-07
3/22/2021;12:24:54.126; 3.0865E-07
3/22/2021;12:24:54.129; 3.1048E-07
3/22/2021;12:24:54.131; 3.1116E-07
3/22/2021;12:24:54.134; 3.0968E-07
3/22/2021;12:24:54.137; 3.0858E-07
3/22/2021;12:24:54.139; 3.0774E-07
3/22/2021;12:24:54.142; 3.1131E-07
3/22/2021;12:24:54.145; 3.0668E-07
3/22/2021;12:24:54.147; 3.088E-07
3/22/2021;12:24:54.150; 3.0721E-07
3/22/2021;12:24:54.153; 3.1158E-07
3/22/2021;12:24:54.159; 3.0801E-07
3/22/2021;12:24:54.161; 3.0941E-07
3/22/2021;12:24:54.164; 3.0903E-07
3/22/2021;12:24:54.167; 3.0907E-07
3/22/2021;12:24:54.169; 3.0994E-07
3/22/2021;12:24:54.172; 3.1158E-07
3/22/2021;12:24:54.175; 3.1036E-07
3/22/2021;12:24:54.177; 3.1215E-07
3/22/2021;12:24:54.180; 3.0816E-07
3/22/2021;12:24:54.183; 3.1013E-07
3/22/2021;12:24:54.185; 3.0626E-07
3/22/2021;12:24:54.188; 3.0687E-07
3/22/2021;12:24:54.192; 3.1264E-07
3/22/2021;12:24:54.195; 3.0911E-07
3/22/2021;12:24:54.197; 3.1108E-07
3/22/2021;12:24:54.200; 3.0911E-07
3/22/2021;12:24:54.203; 3.1241E-07
3/22/2021;12:24:54.210; 3.088E-07
3/22/2021;12:24:54.215; 3.1002E-07
3/22/2021;12:24:54.217; 3.0622E-07
3/22/2021;12:24:54.220; 3.0994E-07
3/22/2021;12:24:54.223; 3.0945E-07
3/22/2021;12:24:54.225; 3.1063E-07
3/22/2021;12:24:54.228; 3.115E-07
3/22/2021;12:24:54.231; 3.0694E-07
3/22/2021;12:24:54.233; 3.1332E-07
3/22/2021;12:24:54.236; 3.0508E-07
3/22/2021;12:24:54.239; 3.1492E-07
3/22/2021;12:24:54.241; 3.063E-07
3/22/2021;12:24:54.244; 3.1173E-07
3/22/2021;12:24:54.247; 3.0763E-07
3/22/2021;12:24:54.249; 3.0899E-07
3/22/2021;12:24:54.252; 3.1234E-07
3/22/2021;12:24:54.256; 3.0668E-07
3/22/2021;12:24:54.259; 3.071E-07
3/22/2021;12:24:54.261; 3.0766E-07
3/22/2021;12:24:54.264; 3.1325E-07
3/22/2021;12:24:54.267; 3.055E-07
3/22/2021;12:24:54.269; 3.0782E-07
3/22/2021;12:24:54.272; 3.0394E-07
3/22/2021;12:24:54.275; 3.1173E-07
3/22/2021;12:24:54.277; 3.0611E-07
3/22/2021;12:24:54.280; 3.131E-07
3/22/2021;12:24:54.283; 3.0759E-07
3/22/2021;12:24:54.285; 3.0915E-07
3/22/2021;12:24:54.288; 3.1241E-07
3/22/2021;12:24:54.291; 3.0827E-07
3/22/2021;12:24:54.293; 3.0706E-07
3/22/2021;12:24:54.296; 3.126E-07
3/22/2021;12:24:54.299; 3.1348E-07
3/22/2021;12:24:54.302; 3.085E-07
3/22/2021;12:24:54.304; 3.1234E-07
3/22/2021;12:24:54.308; 3.0542E-07
3/22/2021;12:24:54.311; 3.1283E-07
3/22/2021;12:24:54.313; 3.047E-07
3/22/2021;12:24:54.317; 3.1496E-07
3/22/2021;12:24:54.320; 3.0865E-07
3/22/2021;12:24:54.323; 3.0793E-07
3/22/2021;12:24:54.325; 3.1025E-07
3/22/2021;12:24:54.328; 3.0858E-07
3/22/2021;12:24:54.331; 3.1161E-07
3/22/2021;12:24:54.333; 3.0679E-07
3/22/2021;12:24:54.336; 3.1226E-07
3/22/2021;12:24:54.339; 3.077E-07
3/22/2021;12:24:54.341; 3.0896E-07
3/22/2021;12:24:54.344; 3.088E-07
3/22/2021;12:24:54.347; 3.0835E-07
3/22/2021;12:24:54.350; 3.1237E-07
3/22/2021;12:24:54.352; 3.0588E-07
3/22/2021;12:24:54.355; 3.0789E-07
3/22/2021;12:24:54.360; 3.1032E-07
3/22/2021;12:24:54.363; 3.0736E-07
3/22/2021;12:24:54.365; 3.0759E-07
3/22/2021;12:24:54.368; 3.1351E-07
3/22/2021;12:24:54.371; 3.0474E-07
3/22/2021;12:24:54.374; 3.137E-07
3/22/2021;12:24:54.376; 3.071E-07
3/22/2021;12:24:54.379; 3.0896E-07
3/22/2021;12:24:54.382; 3.1135E-07
3/22/2021;12:24:54.384; 3.0831E-07
3/22/2021;12:24:54.387; 3.1188E-07
3/22/2021;12:24:54.390; 3.096E-07
3/22/2021;12:24:54.392; 3.1218E-07
3/22/2021;12:24:54.395; 3.1006E-07
3/22/2021;12:24:54.398; 3.0698E-07
3/22/2021;12:24:54.400; 3.1245E-07
3/22/2021;12:24:54.403; 3.0729E-07
3/22/2021;12:24:54.407; 3.1074E-07
3/22/2021;12:24:54.410; 3.0801E-07
3/22/2021;12:24:54.412; 3.0713E-07
3/22/2021;12:24:54.415; 3.0607E-07
3/22/2021;12:24:54.418; 3.1146E-07
3/22/2021;12:24:54.420; 3.1215E-07
3/22/2021;12:24:54.423; 3.0858E-07
3/22/2021;12:24:54.426; 3.1078E-07
3/22/2021;12:24:54.428; 3.0603E-07
3/22/2021;12:24:54.431; 3.0523E-07
3/22/2021;12:24:54.434; 3.0713E-07
3/22/2021;12:24:54.436; 3.0937E-07
3/22/2021;12:24:54.439; 3.1108E-07
3/22/2021;12:24:54.442; 3.0831E-07
3/22/2021;12:24:54.444; 3.1032E-07
3/22/2021;12:24:54.446; 3.0645E-07
3/22/2021;12:24:54.449; 3.1268E-07
3/22/2021;12:24:54.452; 3.044E-07
3/22/2021;12:24:54.456; 3.1283E-07
3/22/2021;12:24:54.459; 3.0679E-07
3/22/2021;12:24:54.461; 3.0732E-07
3/22/2021;12:24:54.464; 3.0877E-07
3/22/2021;12:24:54.467; 3.134E-07
3/22/2021;12:24:54.469; 3.0478E-07
3/22/2021;12:24:54.472; 3.1188E-07
3/22/2021;12:24:54.475; 3.0725E-07
3/22/2021;12:24:54.477; 3.0766E-07
3/22/2021;12:24:54.480; 3.118E-07
3/22/2021;12:24:54.483; 3.0296E-07
3/22/2021;12:24:54.485; 3.1002E-07
3/22/2021;12:24:54.488; 3.0911E-07
3/22/2021;12:24:54.491; 3.0759E-07
3/22/2021;12:24:54.493; 3.1021E-07
3/22/2021;12:24:54.496; 3.1097E-07
3/22/2021;12:24:54.499; 3.0664E-07
3/22/2021;12:24:54.501; 3.0907E-07
3/22/2021;12:24:54.504; 3.0831E-07
3/22/2021;12:24:54.508; 3.085E-07
3/22/2021;12:24:54.510; 3.0797E-07
3/22/2021;12:24:54.513; 3.107E-07
3/22/2021;12:24:54.516; 3.0531E-07
3/22/2021;12:24:54.518; 3.1317E-07
3/22/2021;12:24:54.521; 3.0607E-07
3/22/2021;12:24:54.524; 3.1321E-07
3/22/2021;12:24:54.526; 3.0941E-07
3/22/2021;12:24:54.530; 3.0949E-07
3/22/2021;12:24:54.532; 3.058E-07
3/22/2021;12:24:54.535; 3.1112E-07
3/22/2021;12:24:54.538; 3.0846E-07
3/22/2021;12:24:54.540; 3.0945E-07
3/22/2021;12:24:54.543; 3.1196E-07
3/22/2021;12:24:54.546; 3.1002E-07
3/22/2021;12:24:54.548; 3.1325E-07
3/22/2021;12:24:54.552; 3.0778E-07
3/22/2021;12:24:54.558; 3.0937E-07
3/22/2021;12:24:54.561; 3.0797E-07
3/22/2021;12:24:54.563; 3.0793E-07
3/22/2021;12:24:54.566; 3.1139E-07
3/22/2021;12:24:54.569; 3.0778E-07
3/22/2021;12:24:54.571; 3.1093E-07
3/22/2021;12:24:54.574; 3.0975E-07
3/22/2021;12:24:54.577; 3.0804E-07
