Powermeter serial number; P0013475
Sensor serial number; 200922128
Sensor Type; Photodiode
Wavelength(nm); 775

Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)
3/22/2021;13:34:47.521; 1.0217E-08
3/22/2021;13:34:47.524; 1.2555E-08
3/22/2021;13:34:47.527; 1.4558E-08
3/22/2021;13:34:47.529; 1.3256E-08
3/22/2021;13:34:47.532; 1.596E-08
3/22/2021;13:34:47.536; 1.3022E-08
3/22/2021;13:34:47.539; 1.2588E-08
3/22/2021;13:34:47.542; 1.5126E-08
3/22/2021;13:34:47.544; 1.5894E-08
3/22/2021;13:34:47.547; 1.0685E-08
3/22/2021;13:34:47.550; 1.7596E-08
3/22/2021;13:34:47.552; 1.2321E-08
3/22/2021;13:34:47.559; 1.6394E-08
3/22/2021;13:34:47.561; 1.4892E-08
3/22/2021;13:34:47.564; 1.4124E-08
3/22/2021;13:34:47.567; 1.1753E-08
3/22/2021;13:34:47.569; 1.1419E-08
3/22/2021;13:34:47.572; 1.1987E-08
3/22/2021;13:34:47.575; 1.2454E-08
3/22/2021;13:34:47.577; 1.4691E-08
3/22/2021;13:34:47.580; 1.409E-08
3/22/2021;13:34:47.583; 1.0952E-08
3/22/2021;13:34:47.585; 1.7463E-08
3/22/2021;13:34:47.588; 1.1853E-08
3/22/2021;13:34:47.591; 1.6995E-08
3/22/2021;13:34:47.594; 1.2221E-08
3/22/2021;13:34:47.598; 1.6929E-08
3/22/2021;13:34:47.605; 1.6561E-08
3/22/2021;13:34:47.610; 1.2321E-08
3/22/2021;13:34:47.612; 1.1853E-08
3/22/2021;13:34:47.615; 1.1887E-08
3/22/2021;13:34:47.618; 1.7329E-08
3/22/2021;13:34:47.621; 1.3823E-08
3/22/2021;13:34:47.623; 1.3823E-08
3/22/2021;13:34:47.626; 1.6995E-08
3/22/2021;13:34:47.629; 1.5994E-08
3/22/2021;13:34:47.631; 1.1319E-08
3/22/2021;13:34:47.634; 1.2221E-08
3/22/2021;13:34:47.637; 1.3256E-08
3/22/2021;13:34:47.639; 1.3924E-08
3/22/2021;13:34:47.642; 1.8231E-08
3/22/2021;13:34:47.645; 1.3222E-08
3/22/2021;13:34:47.647; 1.409E-08
3/22/2021;13:34:47.650; 1.1853E-08
3/22/2021;13:34:47.653; 1.793E-08
3/22/2021;13:34:47.657; 1.3189E-08
3/22/2021;13:34:47.659; 1.192E-08
3/22/2021;13:34:47.662; 1.2421E-08
3/22/2021;13:34:47.664; 1.5126E-08
3/22/2021;13:34:47.667; 1.3924E-08
3/22/2021;13:34:47.670; 1.3456E-08
3/22/2021;13:34:47.672; 1.4758E-08
3/22/2021;13:34:47.675; 9.7498E-09
3/22/2021;13:34:47.678; 1.3055E-08
3/22/2021;13:34:47.680; 1.2555E-08
3/22/2021;13:34:47.683; 1.7964E-08
3/22/2021;13:34:47.686; 1.0585E-08
3/22/2021;13:34:47.688; 1.7296E-08
3/22/2021;13:34:47.691; 1.3924E-08
3/22/2021;13:34:47.694; 1.6828E-08
3/22/2021;13:34:47.696; 1.1853E-08
3/22/2021;13:34:47.699; 1.2922E-08
3/22/2021;13:34:47.702; 1.399E-08
3/22/2021;13:34:47.706; 1.4658E-08
3/22/2021;13:34:47.708; 1.7396E-08
3/22/2021;13:34:47.711; 1.4124E-08
3/22/2021;13:34:47.713; 1.6094E-08
3/22/2021;13:34:47.716; 1.7797E-08
3/22/2021;13:34:47.719; 1.0017E-08
3/22/2021;13:34:47.721; 1.3823E-08
3/22/2021;13:34:47.723; 1.1753E-08
3/22/2021;13:34:47.726; 1.3356E-08
3/22/2021;13:34:47.729; 1.7563E-08
3/22/2021;13:34:47.732; 1.0918E-08
3/22/2021;13:34:47.734; 1.5226E-08
3/22/2021;13:34:47.737; 1.3556E-08
3/22/2021;13:34:47.740; 1.4591E-08
3/22/2021;13:34:47.742; 1.8231E-08
3/22/2021;13:34:47.745; 1.0785E-08
3/22/2021;13:34:47.748; 1.6895E-08
3/22/2021;13:34:47.750; 1.2855E-08
3/22/2021;13:34:47.757; 1.5727E-08
3/22/2021;13:34:47.759; 1.6094E-08
3/22/2021;13:34:47.762; 1.4491E-08
3/22/2021;13:34:47.764; 1.4591E-08
3/22/2021;13:34:47.767; 1.2421E-08
3/22/2021;13:34:47.770; 1.8431E-08
3/22/2021;13:34:47.772; 1.1186E-08
3/22/2021;13:34:47.775; 1.8899E-08
3/22/2021;13:34:47.778; 1.2755E-08
3/22/2021;13:34:47.780; 1.3857E-08
3/22/2021;13:34:47.783; 1.6561E-08
3/22/2021;13:34:47.786; 1.2187E-08
3/22/2021;13:34:47.788; 1.3122E-08
3/22/2021;13:34:47.791; 1.5593E-08
3/22/2021;13:34:47.794; 1.5894E-08
3/22/2021;13:34:47.796; 1.4257E-08
3/22/2021;13:34:47.799; 1.379E-08
3/22/2021;13:34:47.802; 1.556E-08
3/22/2021;13:34:47.806; 1.3156E-08
3/22/2021;13:34:47.808; 1.5827E-08
3/22/2021;13:34:47.811; 1.359E-08
3/22/2021;13:34:47.813; 1.4625E-08
3/22/2021;13:34:47.816; 1.6795E-08
3/22/2021;13:34:47.819; 1.2888E-08
3/22/2021;13:34:47.821; 1.4591E-08
3/22/2021;13:34:47.824; 1.4725E-08
3/22/2021;13:34:47.827; 1.5693E-08
3/22/2021;13:34:47.829; 1.192E-08
3/22/2021;13:34:47.832; 1.202E-08
3/22/2021;13:34:47.835; 1.1052E-08
3/22/2021;13:34:47.837; 1.4625E-08
3/22/2021;13:34:47.840; 1.4157E-08
3/22/2021;13:34:47.843; 1.7964E-08
3/22/2021;13:34:47.845; 1.2855E-08
3/22/2021;13:34:47.848; 1.8965E-08
3/22/2021;13:34:47.851; 1.2054E-08
3/22/2021;13:34:47.855; 1.7129E-08
3/22/2021;13:34:47.858; 1.3523E-08
3/22/2021;13:34:47.861; 1.4925E-08
3/22/2021;13:34:47.864; 1.2254E-08
3/22/2021;13:34:47.867; 1.8465E-08
3/22/2021;13:34:47.869; 1.4825E-08
3/22/2021;13:34:47.872; 1.2454E-08
3/22/2021;13:34:47.875; 1.7964E-08
3/22/2021;13:34:47.877; 1.1954E-08
3/22/2021;13:34:47.880; 1.7496E-08
3/22/2021;13:34:47.883; 1.2955E-08
3/22/2021;13:34:47.885; 1.5292E-08
3/22/2021;13:34:47.888; 1.5693E-08
3/22/2021;13:34:47.891; 1.4291E-08
3/22/2021;13:34:47.893; 1.6261E-08
3/22/2021;13:34:47.896; 9.9836E-09
3/22/2021;13:34:47.899; 1.8899E-08
3/22/2021;13:34:47.901; 1.1319E-08
3/22/2021;13:34:47.904; 1.2187E-08
3/22/2021;13:34:47.907; 1.3156E-08
3/22/2021;13:34:47.909; 1.3122E-08
3/22/2021;13:34:47.912; 1.6929E-08
3/22/2021;13:34:47.916; 1.2888E-08
3/22/2021;13:34:47.918; 1.2121E-08
3/22/2021;13:34:47.921; 1.4591E-08
3/22/2021;13:34:47.924; 1.409E-08
3/22/2021;13:34:47.926; 1.4191E-08
3/22/2021;13:34:47.929; 1.6795E-08
3/22/2021;13:34:47.932; 1.3022E-08
3/22/2021;13:34:47.934; 1.6127E-08
3/22/2021;13:34:47.937; 1.4458E-08
3/22/2021;13:34:47.940; 1.369E-08
3/22/2021;13:34:47.942; 1.7329E-08
3/22/2021;13:34:47.945; 1.2521E-08
3/22/2021;13:34:47.948; 1.4458E-08
3/22/2021;13:34:47.950; 1.4391E-08
3/22/2021;13:34:47.956; 1.0284E-08
3/22/2021;13:34:47.959; 1.4291E-08
3/22/2021;13:34:47.962; 1.6394E-08
3/22/2021;13:34:47.964; 1.4858E-08
3/22/2021;13:34:47.967; 1.4625E-08
3/22/2021;13:34:47.970; 1.8598E-08
3/22/2021;13:34:47.972; 1.3656E-08
3/22/2021;13:34:47.975; 1.1887E-08
3/22/2021;13:34:47.978; 1.6862E-08
3/22/2021;13:34:47.981; 1.202E-08
3/22/2021;13:34:47.985; 1.8064E-08
3/22/2021;13:34:47.987; 1.2521E-08
3/22/2021;13:34:47.990; 1.369E-08
3/22/2021;13:34:47.993; 1.6394E-08
3/22/2021;13:34:47.995; 1.3757E-08
3/22/2021;13:34:47.998; 1.6762E-08
3/22/2021;13:34:48.001; 1.5626E-08
3/22/2021;13:34:48.005; 1.5894E-08
3/22/2021;13:34:48.007; 1.4792E-08
3/22/2021;13:34:48.010; 1.2655E-08
