Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4,X5,Y5,Flag5,X6,Y6,Flag6,X7,Y7,Flag7,X8,Y8,Flag8,X9,Y9,Flag9,X10,Y10,Flag10,,,,,,


1,1.3713953,0.3283721, ,2.454122,0.2391603, ,1.7230366,0.8844674, ,4.6557198,1.1645526, ,0.8505191,2.955313, ,6.606352,3.1404479, ,5.42051,4.0642676, ,3.0987298,4.381914, ,3.0177257,6.557893, ,4.4717894,7.7181787, , , , , , , , , , 
2,1.2944616,0.2423077,*,1.6386352,0.8045404,*,0.7661818,2.8900607,*,4.5863113,1.082392,*,3.0204203,4.3134174,*,6.539881,3.0675595,*,5.3448973,3.9851906,*,2.9419663,6.4887643,*,4.3961077,7.65515,*,1.692145,8.177884,*, , , , , , , , , 
3,1.3289042,0.2330137,*,1.6889669,0.8064576,*,0.80431736,2.8824723,*,4.631065,1.0838403,*,3.0633104,4.3204827,*,6.5799155,3.082373,*,5.392713,4.00938,*,2.9820635,6.4892063,*,4.4274273,7.6600413,*,1.7292951,8.1805725,*, , , , , , , , , 
4,1.383246,0.33563936,*,1.7230303,0.9368561,*,0.8608791,3.0061905,*,4.6644,1.21144,*,3.107824,4.422639,*,6.615369,3.1893852,*,5.429618,4.1078205,*,3.0127757,6.617551,*,4.466889,7.758808,*,1.7727436,8.276958,*, , , , , , , , , 
5,1.3016168,0.2551497,*,1.6498889,0.84155554,*,0.78219813,2.9350154,*,4.599443,1.1234897,*,3.0373297,4.345909,*,6.560723,3.1108434,*,5.3695154,4.0252123,*,2.9432204,6.537062,*,4.4069324,7.692065,*,1.6997923,8.217715,*, , , , , , , , , 
6,1.3389524,0.24409524,*,1.6966418,0.8458955,*,0.8239855,2.9208696,*,4.641583,1.1250579,*,3.081166,4.350848,*,6.5988703,3.1209624,*,5.4138584,4.0411024,*,2.9764285,6.5411906,*,4.437826,7.695652,*,1.7304525,8.205565,*, , , , , , , , , 
7,1.3774618,0.3082263,*,1.7165363,0.92765164,*,0.85197395,3.0057542,*,4.651804,1.2164721,*,3.106123,4.4322224,*,6.604084,3.1926048,*,5.4224463,4.1123877,*,3.0324624,6.606717,*,4.470896,7.7515354,*,1.7826489,8.273121,*,2.4693832,0.2099119, , , , , , , 
8,1.310939,0.22755869,*,1.6523529,0.8340336,*,0.782597,2.918776,*,4.6014285,1.1112245,*,3.0450146,4.34258,*,6.561454,3.0965698,*,5.3681874,4.0165863,*,2.966474,6.5196533,*,4.420539,7.6781435,*,1.7167066,8.190779,*,2.39,0.15,*, , , , , , 
9,1.3422759,0.21868965,*,1.7017038,0.83051854,*,0.8197455,2.9134183,*,4.6435633,1.1185824,*,3.087091,4.352982,*,6.600167,3.107,*,5.419764,4.037795,*,3.0082102,6.5215178,*,4.455801,7.685238,*,1.7462728,8.198636,*, , , , , , , , , 
10,1.3980217,0.31829268,*,1.7365705,0.9405415,*,0.8612081,3.0370135,*,4.6642737,1.2233334,*,3.115293,4.450566,*,6.6120677,3.2056117,*,5.4312143,4.129107,*,3.0312524,6.629374,*,4.4819613,7.7623496,*,1.7989833,8.283235,*, , , , , , , , , 
11,1.3264948,0.23072165,*,1.6734973,0.82601094,*,0.79388237,2.9348235,*,4.621826,1.1143478,*,3.0636573,4.3525143,*,6.5761237,3.1070786,*,5.388324,4.0264163,*,2.973516,6.5354757,*,4.4393053,7.6796675,*,1.7365681,8.191775,*, , , , , , , , , 
12,1.3647968,0.2199187,*,1.7186861,0.8280292,*,0.8382909,2.9217818,*,4.6637406,1.1124427,*,3.1022263,4.3627915,*,6.6167235,3.117915,*,5.4345803,4.0476336,*,3.0105448,6.536615,*,4.4693046,7.6866956,*,1.7682408,8.194815,*, , , , , , , , , 
13,1.4137727,0.33245453,*,1.7581189,0.95029706,*,0.87950313,3.0545652,*,4.683777,1.246259,*,3.1388535,4.4441094,*,6.6306133,3.2236016,*,5.4545736,4.12901,*,3.0478659,6.6217384,*,4.4997916,7.768264,*,1.8193053,8.285574,*, , , , , , , , , 
14,1.350199,0.24243781,*,1.6958356,0.8279841,*,0.8135503,2.9391124,*,4.6414127,1.1224859,*,3.0857265,4.3374076,*,6.5934005,3.1162825,*,5.411866,4.0151896,*,2.9877777,6.5122776,*,4.455576,7.6712728,*,1.7622544,8.182427,*, , , , , , , , , 
15,1.385077,0.22738461,*,1.7413044,0.83166665,*,0.85755396,2.9274101,*,4.686453,1.1232076,*,3.1252651,4.3449116,*,6.6333475,3.1267364,*,5.460279,4.0386057,*,3.028125,6.5164843,*,4.485776,7.676983,*,1.7925551,8.18348,*, , , , , , , , , 
16,1.4310856,0.3217328,*,1.7778033,0.97065574,*,0.8952485,3.0673914,*,4.6986527,1.2646809,*,3.1517465,4.47887,*,6.6468544,3.2415729,*,5.4666204,4.157178,*,3.0683246,6.675445,*,4.5076656,7.8267946,*,1.8124026,8.340877,*, , , ,2.5022461,0.21375385, , , , 
17,1.3667227,0.2192437,*,1.7161081,0.83664864,*,0.83359885,2.9384365,*,4.657861,1.1263006,*,3.0979772,4.3545012,*,6.612619,3.119762,*,5.42509,4.0323954,*,3.0054154,6.558424,*,4.46454,7.7172403,*,1.7611697,8.235263,*, , , ,2.45,0.125,*, , , 
18,1.4039878,0.20754601,*,1.7653506,0.83450186,*,0.87545455,2.9324,*,4.69705,1.124023,*,3.141119,4.3655243,*,6.649391,3.1323478,*,5.4760165,4.061951,*,3.044077,6.5545382,*,4.496552,7.71431,*,1.7879221,8.230086,*, , , , , , , , , 
